Truth,Pred
h,h
i,i
m,m
s,s
e,e
l,l
f,f
",",<DEL>
 , 
a,a
d,d
v,v
a,a
n,n
c,c
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
y,y
",",<DEL>
 , 
a,a
n,n
d,d
 , 
 ,<DEL>
E,E
l,l
i,i
z,z
a,a
b,b
e,e
t,t
h,h
",",","
 , 
i,i
f,f
 , 
n,<DEL>
 ,<DEL>
t,t
e,e
r,r
m,m
s,s
 , 
o,o
f,f
 , 
p,p
e,e
r,r
f,f
e,e
c,c
 , 
c,c
o,o
m,m
p,p
o,o
s,s
u,u
r,r
e,e
",",<DEL>
 , 
a,a
t,t
 , 
l,<DEL>
 ,<DEL>
p,p
e,e
r,r
f,f
e,e
c,c
t,t
 , 
c,c
i,i
v,v
i,i
l,l
i,i
t,t
 , 
i,i
n,n
s,s
t,t
i,i
n,n
c,c
t,t
i,i
v,v
e,e
l,l
y,y
 ,<DEL>
t,<DEL>
p,p
o,o
č,c
a,ä
l,l
 ,a
m,n
n,n
e,e
 , 
u,u
b,b
e,e
z,z
p,p
e,e
č,e
o,o
v, 
a,<DEL>
t,<DEL>
i,<DEL>
",",<DEL>
 , 
ž,n
e,l
 , 
z,z
n,i
á,á
v,v
a,a
l,l
 , 
m,m
n,n
o,o
h,h
é,é
 , 
z,<DEL>
 ,<DEL>
d,d
ř,<DEL>
í,í
v,e
ě,<DEL>
j,j
š,s
í,í
c,c
h,h
 ,s
š,<DEL>
l,l
e,e
c,c
h,h
t,n
i,e
c,<DEL>
k,k
ý,y
c,c
h,l
 , 
v,'
ě,{
z,z
ň,á
ů,ú
",",<DEL>
 , 
a,y
 ,<DEL>
j,<DEL>
m,m
e,e
n,n
o,e
v,v
a,a
l,l
 , 
m,i
n,n
<INS>,n
ě,e
 , 
j,J
e,0
 , 
j,j
m,u
é,č
n,ú
e,e
m,m
 , 
a,<DEL>
 ,<DEL>
p,p
a,a
t,t
r,r
o,o
n,n
y,y
m,m
i,i
k,k
e,e
m,m
.,<DEL>
 , 
B,B
y,y
l,l
 , 
t,t
o,o
 , 
u,u
ž,ž
 , 
š,š
e,e
d,d
i,1
v,v
ý,ý
 , 
v,v
o,o
j,j
á,á
k,k
;,.
 , 
n,n
a,a
 , 
t,t
v,v
á,á
ř,ŕ
i,i
 , 
m,m
