Model,Engine,CER,Sub,Del,Ins
degraded,tesseract,0.5229158440016917,21399,194384,8014
dncnn,tesseract,0.07277693531691976,15206,12395,3546
drunet,easyocr,0.08778000789758376,14151,18413,5004
pix2pix,tesseract,0.14716376270798334,33295,25459,4229
clean,easyocr,0.07437748113809323,9051,17863,4918
clean,tesseract,0.019108414197892887,3045,3091,2042
pix2pix,easyocr,0.22738031538930648,56665,32828,7821
dncnn,easyocr,0.15180184074452252,31385,27614,5969
drunet,tesseract,0.030856654181630406,7171,4032,2003
degraded,easyocr,0.47360734989333586,53699,140175,8820
