character,character occurrences,dncnn acc,most common dncnn error,% most common error dncnn,character occurrences,drunet acc,most common drunet error,% most common error drunet,character occurrences,pix2pix acc,most common pix2pix error,% most common error pix2pix
Á,1,0.0%,<DEL>,100.0%,1,0.0%,<DEL>,100.0%,1,0.0%,<DEL>,100.0%
Ú,8,75.0%,<DEL>,25.0%,8,62.5%,<DEL>,25.0%,8,25.0%,U,37.5%
á,4075,77.4%,a,13.0%,4075,91.0%,a,6.0%,4075,70.9%,a,9.8%
é,1631,74.1%,e,18.9%,1631,88.4%,e,8.7%,1631,73.5%,e,13.9%
í,4501,46.8%,i,30.4%,4501,74.9%,i,20.1%,4501,36.0%,i,35.7%
ó,8,75.0%,o,25.0%,8,100.0%,-,0.0%,8,75.0%,o,12.5%
ú,185,69.7%,u,17.8%,185,85.4%,u,7.0%,185,60.0%,u,18.4%
ý,1659,64.7%,y,21.9%,1659,86.4%,y,9.3%,1659,55.2%,y,25.5%
Č,91,61.5%,C,18.7%,91,75.8%,C,13.2%,91,28.6%,C,39.6%
č,1755,74.4%,c,13.1%,1755,92.6%,c,2.8%,1755,58.7%,c,16.6%
ď,65,43.1%,d,43.1%,65,40.0%,d,52.3%,65,30.8%,d,52.3%
ě,3766,69.4%,é,11.7%,3766,91.2%,é,3.6%,3766,57.4%,é,16.9%
ň,96,60.4%,n,25.0%,96,75.0%,n,14.6%,96,50.0%,n,17.7%
Ř,13,61.5%,R,30.8%,13,84.6%,R,15.4%,13,23.1%,R,61.5%
ř,2369,59.7%,r,12.2%,2369,83.9%,r,6.5%,2369,36.8%,r,13.9%
Š,50,76.0%,S,12.0%,50,90.0%,S,8.0%,50,52.0%,S,32.0%
š,2025,76.5%,s,10.9%,2025,93.9%,<DEL>,1.7%,2025,59.9%,s,14.0%
ť,158,52.5%,t,29.7%,158,60.1%,t,31.0%,158,38.6%,t,27.8%
ů,794,42.3%,u,23.7%,794,79.2%,u,8.2%,794,25.9%,ú,25.9%
Ž,27,55.6%,Z,22.2%,27,77.8%,<DEL>,7.4%,27,14.8%,Z,33.3%
ž,2455,78.5%,z,7.9%,2455,93.3%,<DEL>,2.4%,2455,56.5%,z,9.9%
