character,character occurrences,dncnn acc,most common dncnn error,% most common error dncnn,character occurrences,drunet acc,most common drunet error,% most common error drunet,character occurrences,pix2pix acc,most common pix2pix error,% most common error pix2pix
í,4501,72.2%,i,19.0%,4501,88.2%,i,9.0%,4501,57.7%,i,27.1%
á,4075,84.8%,a,9.0%,4075,93.0%,a,5.0%,4075,76.6%,a,10.3%
ě,3766,88.0%,é,5.2%,3766,94.8%,é,2.5%,3766,74.3%,é,11.9%
ž,2455,88.4%,<DEL>,4.3%,2455,94.0%,Z,1.5%,2455,75.1%,<DEL>,8.2%
ř,2369,86.8%,<DEL>,3.5%,2369,94.3%,<DEL>,1.6%,2369,73.7%,<DEL>,7.7%
š,2025,87.0%,s,3.4%,2025,94.9%,<DEL>,1.5%,2025,75.4%,<DEL>,7.2%
č,1755,87.1%,<DEL>,4.2%,1755,93.0%,<DEL>,2.0%,1755,77.8%,<DEL>,7.0%
ý,1659,85.6%,y,9.1%,1659,94.2%,y,4.1%,1659,73.4%,y,16.2%
é,1631,88.7%,e,4.4%,1631,93.7%,e,4.2%,1631,81.5%,<DEL>,6.2%
ů,794,86.9%,u,3.7%,794,95.0%,u,2.1%,794,78.8%,<DEL>,6.7%
ú,185,81.1%,u,7.6%,185,89.2%,u,5.4%,185,75.7%,u,7.6%
ť,158,75.9%,t,13.9%,158,85.4%,t,8.9%,158,58.2%,t,19.0%
ň,96,82.3%,n,7.3%,96,90.6%,n,4.2%,96,75.0%,<DEL>,6.2%
Č,91,76.9%,C,9.9%,91,86.8%,C,6.6%,91,65.9%,C,13.2%
ď,65,63.1%,d,30.8%,65,64.6%,d,35.4%,65,52.3%,d,35.4%
Š,50,78.0%,S,16.0%,50,94.0%,S,6.0%,50,68.0%,S,20.0%
Ž,27,70.4%,Z,25.9%,27,74.1%,Z,22.2%,27,33.3%,Z,33.3%
Ř,13,76.9%,R,23.1%,13,100.0%,-,0.0%,13,46.2%,R,53.8%
Ú,8,62.5%,<DEL>,25.0%,8,62.5%,<DEL>,25.0%,8,37.5%,<DEL>,25.0%
ó,8,87.5%,é,12.5%,8,100.0%,-,0.0%,8,75.0%,o,25.0%
Á,1,0.0%,<DEL>,100.0%,1,0.0%,<DEL>,100.0%,1,0.0%,<DEL>,100.0%
